epoch,loss,loss_phys,loss_ic_x,loss_ic_v
0,74.97103881835938,1.6288363933563232,0.35079386830329895,0.015917137265205383
500,0.2258966863155365,0.2255866974592209,1.549782496113039e-06,1.4950769788857343e-10
1000,0.1212928369641304,0.12114725261926651,7.050131785035774e-07,2.292350842481028e-08
1500,0.03729112818837166,0.03727094829082489,9.743732221068058e-08,3.4569997975353317e-09
2000,0.010926415212452412,0.010914805345237255,4.135978315389366e-08,1.6690368198624128e-08
2500,0.013927054591476917,0.003346043871715665,5.2531551773427054e-05,3.735033828888845e-07
3000,0.0030856395605951548,0.001934953616000712,1.5394116417155601e-06,4.2140177356486674e-06
3500,0.01020879577845335,0.0014341011410579085,2.4917766495491378e-05,1.8955706764245406e-05
4000,0.0003379772533662617,0.00033261117641814053,1.602762722541229e-08,1.0802705396883994e-08
4500,0.00014870284940116107,0.0001487019908381626,2.7853275241795927e-12,1.5078582913524707e-12
5000,0.00011157201515743509,0.0001115706836571917,6.568967592102126e-12,6.299669987053225e-14
5500,0.0002150303334929049,0.00014905876014381647,2.983712477089284e-08,3.000207868808502e-07
6000,0.00010628590098349378,0.00010627965093590319,3.007016857736744e-11,1.1610929231964384e-12
6500,0.00010450051195221022,0.00010242505231872201,1.0098929692503589e-08,2.783928920724321e-10
7000,0.0004099872021470219,0.00016961358778644353,9.278903689846629e-07,2.7397780399951444e-07
7500,0.0017836522310972214,7.687820470891893e-05,8.490073014399968e-06,4.379745988103423e-08
8000,5.858638178324327e-05,5.858448275830597e-05,3.8689051962137455e-12,5.6223393996024384e-12
8500,4.875505328527652e-05,4.875491504208185e-05,6.963318810448982e-13,4.749672877224498e-15
9000,4.2386658606119454e-05,4.238650217303075e-05,1.2789769243681803e-13,6.580161762692605e-13
9500,4.038851329823956e-05,3.932226536562666e-05,3.574061935296413e-09,1.7571882837685848e-09
10000,9.852004586718976e-05,4.319614890846424e-05,1.5654337914838834e-07,1.200760948449897e-07
10500,4.91150094603654e-05,3.422443114686757e-05,7.40682395417025e-08,3.846588603195755e-10
11000,5.603994213743135e-05,3.3080115827033296e-05,1.3656631381309126e-09,1.1343345818204398e-07
11500,2.5392449970240705e-05,2.5386658307979815e-05,8.185452315956354e-12,2.077438568393042e-11
12000,9.577763557899743e-05,4.960213846061379e-05,9.578698723089474e-09,2.212988050587228e-07
12500,2.1279760403558612e-05,2.1279747670632787e-05,5.684341886080802e-14,8.501012394024343e-15
13000,1.9252691345172934e-05,1.9252665879321285e-05,1.2789769243681803e-13,2.2560078805078376e-15
13500,0.0015676396433264017,2.663591476448346e-05,7.705000825808384e-06,1.745495761817928e-11
14000,2.8540200219140388e-05,1.5740301023470238e-05,2.2851196490591974e-09,6.17143740555548e-08
14500,1.7448699509259313e-05,1.4315813132270705e-05,1.5637638739463e-08,2.6793987167872402e-11
15000,8.734880248084664e-05,1.4100717635301407e-05,3.660094307633699e-07,2.309585855897467e-10
15500,7.724970782874152e-05,1.2009264537482522e-05,1.5727209756732918e-08,3.1047500215208856e-07
16000,1.0890198609558865e-05,1.0866780939977616e-05,2.3888446776254568e-11,9.320144656044249e-11
16500,1.0145645319425967e-05,1.0145629858016036e-05,3.552713678800501e-15,7.144371899636681e-14
17000,9.39873825700488e-06,9.398685506312177e-06,1.4210854715202004e-14,2.51986799482129e-13
17500,8.69803534442326e-06,8.624919246358331e-06,8.185452315956354e-12,3.573958906599728e-10
18000,1.96190521819517e-05,8.01008991402341e-06,5.658791124574236e-08,1.4568972694917193e-09
18500,0.0001962934184120968,8.659856575832237e-06,9.381384415974026e-07,2.933925324910547e-11
19000,1.0766701052489225e-05,6.80667108099442e-06,5.005663439305863e-09,1.4794487412927992e-08
19500,1.1100980373157654e-05,6.405465683201328e-06,2.3065297227731207e-08,4.122806263051615e-10
19999,1.0414136340841651e-05,5.960387625236763e-06,2.0978419001949078e-08,1.2903262902597135e-09
20000,9.797125130717177e-06,9.797125130717177e-06,nan,nan
