epoch,loss,loss_phys,loss_data,delta
0,205.03526306152344,2.2510664463043213,0.12131978571414948,0.9990000128746033
500,0.3922507166862488,0.24288706481456757,0.0014924070565029979,0.6418452262878418
1000,0.14608077704906464,0.03459719568490982,0.001114538055844605,0.33527499437332153
1500,0.12041964381933212,0.010082215070724487,0.0011033382033929229,0.22208961844444275
2000,0.11896873265504837,0.008604067377746105,0.0011036352952942252,0.19994696974754333
2500,0.11867273598909378,0.00828824657946825,0.001103718881495297,0.1978204846382141
3000,0.1188044473528862,0.008179718628525734,0.0011032716138288379,0.19781555235385895
3500,0.11839144676923752,0.008076325058937073,0.0011031401809304953,0.19777248799800873
4000,0.11833010613918304,0.008035527542233467,0.0011029342422261834,0.197818785905838
4500,0.11832350492477417,0.008013071492314339,0.0011029051383957267,0.19769296050071716
5000,0.11844299733638763,0.008020637556910515,0.0011027485597878695,0.19772888720035553
5500,0.11825410276651382,0.007976524531841278,0.001102682901546359,0.19781149923801422
6000,0.12108516693115234,0.008087914437055588,0.0011072388151660562,0.19785767793655396
6500,0.11889057606458664,0.008014969527721405,0.001102378242649138,0.19789515435695648
7000,0.11912640184164047,0.008048737421631813,0.001104283845052123,0.1973094493150711
7500,0.11931933462619781,0.008002121932804585,0.001103382557630539,0.1977672129869461
8000,0.11820122599601746,0.007920865900814533,0.0011026414576917887,0.19778844714164734
8500,0.11815762519836426,0.00792188011109829,0.0011023434344679117,0.1978016346693039
9000,0.11991680413484573,0.008099347352981567,0.001103508984670043,0.197848379611969
9500,0.11840840429067612,0.007918668910861015,0.0011029724264517426,0.19780154526233673
10000,0.11837383359670639,0.00793223362416029,0.001102269859984517,0.19779203832149506
10500,0.1189042255282402,0.00796443596482277,0.0011026408756151795,0.19776153564453125
11000,0.1192188560962677,0.008040865883231163,0.0011024444829672575,0.19772787392139435
11500,0.11813253909349442,0.007929625920951366,0.0011020213132724166,0.19779235124588013
12000,0.1191905066370964,0.007945909164845943,0.0011038711527362466,0.19777829945087433
12500,0.11812745034694672,0.007933054119348526,0.0011019401717931032,0.19779463112354279
13000,0.11813085526227951,0.007932973094284534,0.0011019755620509386,0.19778402149677277
13500,0.12162533402442932,0.008039337582886219,0.0011069313623011112,0.19778795540332794
14000,0.11902071535587311,0.007948066107928753,0.0011035067727789283,0.19773335754871368
14500,0.11812169849872589,0.00793676171451807,0.0011018479708582163,0.19779072701931
14999,0.11812286078929901,0.007941961288452148,0.0011017663637176156,0.19778595864772797
