t,x_true,y_noisy
0.0,1.0,1.0152358539877215
0.189873417721519,0.9305240847704279,0.8785248794584032
0.379746835443038,0.7384551762768221,0.7759777360671449
0.569620253164557,0.4591125044676183,0.506140740287179
0.759493670886076,0.1372067164477776,0.03965495701508577
0.949367088607595,-0.17998158771514536,-0.24509056305826127
1.139240506329114,-0.449277033735099,-0.4428850135767347
1.3291139240506329,-0.637233185260753,-0.6530453148779322
1.518987341772152,-0.7240100787872547,-0.7248501366624691
1.708860759493671,-0.7051012670487494,-0.7477534634274284
1.89873417721519,-0.590830688979849,-0.5468607902367076
2.088607594936709,-0.4038515070078637,-0.3649619102364163
2.278481012658228,-0.17513621808447352,-0.1718346832064127
2.468354430379747,0.06088143394960201,0.11724349429800365
2.6582278481012658,0.271284147355009,0.2946596144676113
2.848101265822785,0.42907663272972235,0.38611200958556047
3.037974683544304,0.5164564332120162,0.5348939724161411
3.227848101265823,0.5265842078950336,0.47864007785358365
3.417721518987342,0.4637203280642095,0.5076428431295731
3.607594936708861,0.3418285270814588,0.33933223153214614
3.79746835443038,0.18195030755530006,0.17270718937803703
3.987341772151899,0.008800257979010767,-0.0252462192411863
4.177215189873418,-0.15289359517164067,-0.09176652823793915
4.367088607594937,-0.28178362394939227,-0.2895100980528324
4.556962025316456,-0.3625844071762233,-0.38400079828437866
4.746835443037975,-0.38772662356802545,-0.4053333010924369
4.936708860759494,-0.35783128282779236,-0.3312158235501249
5.126582278481013,-0.2810255037530907,-0.26275330053488677
5.3164556962025316,-0.17127844488236235,-0.15064181430256293
5.506329113924051,-0.04605737230367019,-0.024516322153276055
5.69620253164557,0.07632480887231435,0.1834071889158374
5.886075949367089,0.1792840572421971,0.1589633064229663
6.075949367088608,0.25011419490253517,0.2245020584489583
6.265822784810127,0.28144666684388103,0.24075803043148714
6.455696202531646,0.27187117989420856,0.30267015102298334
6.645569620253165,0.22569343595938934,0.28214205059543396
6.835443037974684,0.1519263104284135,0.14622893754566976
7.025316455696203,0.06270895635642178,0.020701132508295375
7.215189873417722,-0.028587416182991196,-0.06981147696755317
7.405063291139241,-0.10928427000263476,-0.0767546306113997
7.59493670886076,-0.1690846625566113,-0.1319219539964392
7.784810126582279,-0.2013118742430143,-0.17415416082775456
7.974683544303798,-0.20356072806414996,-0.23683621342858469
8.164556962025317,-0.1777151890624197,-0.16610712290908372
8.354430379746836,-0.1293761770797563,-0.12354188662271988
8.544303797468356,-0.06682123597664635,-0.055886806140195706
8.734177215189874,0.00032696166770798516,0.043898400565117485
8.924050632911394,0.0625192892877194,0.07369906672645352
9.113924050632912,0.11158499262745068,0.14553067078104542
9.30379746835443,0.14175196306076357,0.14513091653520815
9.49367088607595,0.15026328079767795,0.16471925073217716
9.683544303797468,0.13753496160344114,0.16909937289536817
9.873417721518988,0.10686681804243255,0.034009027049649226
10.063291139240507,0.06377879085668212,0.04779523003881705
10.253164556962027,0.015091202275440125,-0.00842743043919965
10.443037974683545,-0.03210614448511067,-0.06405003689727777
10.632911392405063,-0.07144644351891066,-0.08520355608024485
10.822784810126583,-0.09810657761942461,-0.023359512057704812
11.012658227848101,-0.1093559822674275,-0.15264753805208967
11.202531645569621,-0.10477825494269699,-0.05636433721312295
11.39240506329114,-0.08615903783328387,-0.17030252641407412
11.58227848101266,-0.0570799649159022,-0.07382421641519094
11.772151898734178,-0.02229588416472219,-0.01415823090947191
11.962025316455698,0.013003345177994617,0.04231446174595853
12.151898734177216,0.04393675200762195,0.0794980809972647
12.341772151898734,0.06657936473573382,0.10624672649573008
12.531645569620254,0.07843082532459068,0.06099457171216881
12.721518987341772,0.07865426367558738,0.05553667404235902
12.911392405063292,0.06806945961561048,0.11096825367846817
13.10126582278481,0.048919201338105775,0.03935398509402503
13.29113924050633,0.02445748521272909,-0.039326830954167016
13.481012658227849,-0.0015709112810492571,-0.05823527198122329
13.670886075949369,-0.025480132728175096,-0.07145274702825566
13.860759493670887,-0.044144660876813444,-0.01928662367412524
14.050632911392405,-0.05538717573259469,-0.04826588892906643
14.240506329113925,-0.058207950447636256,-0.02368368274424784
14.430379746835444,-0.05283589518418913,-0.07419852750101584
14.620253164556964,-0.04060729042190269,-0.03268030586806698
14.810126582278482,-0.023701450578990133,0.007578069119376703
15.0,-0.004780050367630568,-0.020247377353642487
